store_code,division_code,forecast_week,horizon,pred_revenue,pred_revenue_lower,pred_revenue_upper
CP35,BQ,2026-04-05,2,-106.45867161211292,18.73998322280144,175.41014022647371
CP35,CH,2026-04-05,2,1951.919254779662,1225.4871802740802,2868.794230454756
CP35,FI,2026-04-05,2,597.1144763414931,346.39053907225946,680.4027682650636
CP35,GA,2026-04-05,2,1676.3562932125844,1570.048919055451,3261.6860217735943
CP35,HT,2026-04-05,2,12843.510616307954,7893.316095979076,13833.771280802544
CP35,LO,2026-04-05,2,173.76540191564712,93.42530561684686,182.91436839206978
CP35,ME,2026-04-05,2,939.8919887953472,424.6877772145914,1306.490815504787
CP35,PA,2026-04-05,2,899.5963082227619,456.9629372395259,994.8863057296209
CP35,PC,2026-04-05,2,1121.380269195685,1309.7116008665396,1822.8283234509438
CP35,SP,2026-04-05,2,6522.24436980973,4181.327198104685,7984.300123819184
CP35,TO,2026-04-05,2,651.5775610290813,367.56782915740587,1229.4780713060404
CP36,BQ,2026-04-05,2,2842.0431266605356,2790.334082910919,10401.778338884313
CP36,CH,2026-04-05,2,4116.659838307213,2062.606268714255,4949.920014652444
CP36,FI,2026-04-05,2,-94.53088454551532,15.870087919497575,17.732679246752237
CP36,GA,2026-04-05,2,2352.584984034436,999.560706766112,5983.980518083401
CP36,HT,2026-04-05,2,1043.8304281751289,209.43556276074017,1799.9918084143549
CP36,LO,2026-04-05,2,-157.0138677529882,8.230141122755374,42.54283120184616
CP36,ME,2026-04-05,2,-471.83464030842225,-7.948488558426148,3604.7643058541303
CP36,PA,2026-04-05,2,626.1005156486669,439.59927319792445,1855.4279398660435
CP36,PC,2026-04-05,2,536.931105658287,672.7378737822304,1128.5864755943278
CP36,SP,2026-04-05,2,12939.745670135864,9632.401069348674,18989.571990997967
CP36,TO,2026-04-05,2,1532.7065333569494,988.5484677173174,2121.2169735794805
CP37,BQ,2026-04-05,2,1864.0131625331994,1422.6325323743242,2522.544220579743
CP37,CH,2026-04-05,2,1991.9032403565081,1621.1592046056005,3143.5973028326016
CP37,FI,2026-04-05,2,3038.676091215327,1958.650978209359,4906.173539015179
CP37,GA,2026-04-05,2,630.3526776767628,-137.57518219705335,2278.8968937261225
CP37,HT,2026-04-05,2,2137.8025394764813,1201.8369441586558,1667.9544329354317
CP37,LO,2026-04-05,2,-34.60572645860349,61.91058254771809,18.686490623419985
CP37,ME,2026-04-05,2,3959.921772024395,353.34594418906505,12083.721469657532
CP37,PA,2026-04-05,2,407.09938082944234,13.107009475615305,106.53614482629031
CP37,PC,2026-04-05,2,4073.989825020078,2521.406534668415,6295.294369000513
CP37,SP,2026-04-05,2,12670.368514113112,8282.776093969102,21193.64976434952
CP37,TO,2026-04-05,2,868.9569283511673,313.0345593144435,807.0084774022571
CP39,BQ,2026-04-05,2,279.3688307249869,146.8435178793741,474.32825093481983
CP39,CH,2026-04-05,2,195.48338894002387,36.10906061425366,112.78578482691422
CP39,FI,2026-04-05,2,44.864398458265356,12.47533232562707,31.734330239149074
CP39,GA,2026-04-05,2,728.8876095243905,239.7330515001611,2013.5290675741646
CP39,HT,2026-04-05,2,2959.690590373319,2264.431175276694,6253.06914628318
CP39,LO,2026-04-05,2,-133.33711877373636,-52.39637529340706,75.04695810445783
CP39,ME,2026-04-05,2,-47.99196320317743,5.77402406729058,301.447348003903
CP39,PA,2026-04-05,2,1264.852009349279,834.3666531638264,2200.4721339882753
CP39,PC,2026-04-05,2,-54.699024599567835,179.72116012344014,412.44706070621186
CP39,SP,2026-04-05,2,5903.22578878007,4273.9387870983865,11529.909447099688
