week_ending,store_code_x,city,division_code,units,revenue,n_transactions,store_code_y,province,avg_temp,max_temp,total_precip,sunshine_hours,rain_days,snow_days,bad_weather_days,store_code,n_holidays,has_holiday,month
2023-11-05,CP48,Beloeil,LO,22.0,158.88,9,CP48,QC,3.4,6.5,0.0,4.33,0.0,0.0,0.0,CP48,0,0,11
2023-11-05,CP48,Beloeil,ME,2.0,59.98,2,CP48,QC,3.4,6.5,0.0,4.33,0.0,0.0,0.0,CP48,0,0,11
2023-11-05,CP48,Beloeil,PC,312.0,5044.89,63,CP48,QC,3.4,6.5,0.0,4.33,0.0,0.0,0.0,CP48,0,0,11
2023-11-12,CP02,Blainville,BQ,1.0,24.99,1,CP02,QC,1.14,9.6,14.5,42.62,3.0,1.0,4.0,CP02,0,0,11
2023-11-12,CP02,Blainville,CH,1.0,1061.84,1,CP02,QC,1.14,9.6,14.5,42.62,3.0,1.0,4.0,CP02,0,0,11
2023-11-12,CP02,Blainville,FI,2.0,2199.98,2,CP02,QC,1.14,9.6,14.5,42.62,3.0,1.0,4.0,CP02,0,0,11
2023-11-12,CP02,Blainville,HT,2.0,5568.8099999999995,3,CP02,QC,1.14,9.6,14.5,42.62,3.0,1.0,4.0,CP02,0,0,11
2023-11-12,CP02,Blainville,LO,10.0,70.9,5,CP02,QC,1.14,9.6,14.5,42.62,3.0,1.0,4.0,CP02,0,0,11
2023-11-12,CP02,Blainville,ME,5.0,1327.95,4,CP02,QC,1.14,9.6,14.5,42.62,3.0,1.0,4.0,CP02,0,0,11
2023-11-12,CP02,Blainville,PC,253.0,4927.78,117,CP02,QC,1.14,9.6,14.5,42.62,3.0,1.0,4.0,CP02,0,0,11
2023-11-12,CP02,Blainville,SP,1.0,6385.92,1,CP02,QC,1.14,9.6,14.5,42.62,3.0,1.0,4.0,CP02,0,0,11
2023-11-12,CP02,Blainville,TO,2.0,912.91,3,CP02,QC,1.14,9.6,14.5,42.62,3.0,1.0,4.0,CP02,0,0,11
2023-11-12,CP04,Drummondville,CH,3.0,112.97,4,CP04,QC,1.34,9.6,13.6,35.14,1.0,2.0,3.0,CP04,0,0,11
2023-11-12,CP04,Drummondville,FI,3.0,2224.97,3,CP04,QC,1.34,9.6,13.6,35.14,1.0,2.0,3.0,CP04,0,0,11
2023-11-12,CP04,Drummondville,GA,14.0,559.86,1,CP04,QC,1.34,9.6,13.6,35.14,1.0,2.0,3.0,CP04,0,0,11
2023-11-12,CP04,Drummondville,LO,96.0,247.74,14,CP04,QC,1.34,9.6,13.6,35.14,1.0,2.0,3.0,CP04,0,0,11
2023-11-12,CP04,Drummondville,ME,2.0,574.98,2,CP04,QC,1.34,9.6,13.6,35.14,1.0,2.0,3.0,CP04,0,0,11
2023-11-12,CP04,Drummondville,PC,183.0,3826.67,100,CP04,QC,1.34,9.6,13.6,35.14,1.0,2.0,3.0,CP04,0,0,11
2023-11-12,CP06,Granby,BQ,4.0,180.96,4,CP06,QC,1.54,10.3,18.9,31.35,1.0,3.0,4.0,CP06,0,0,11
2023-11-12,CP06,Granby,FI,4.0,4259.96,2,CP06,QC,1.54,10.3,18.9,31.35,1.0,3.0,4.0,CP06,0,0,11
2023-11-12,CP06,Granby,GA,6.0,4543.67,5,CP06,QC,1.54,10.3,18.9,31.35,1.0,3.0,4.0,CP06,0,0,11
2023-11-12,CP06,Granby,LO,30.0,164.2,12,CP06,QC,1.54,10.3,18.9,31.35,1.0,3.0,4.0,CP06,0,0,11
2023-11-12,CP06,Granby,ME,17.0,1333.93,17,CP06,QC,1.54,10.3,18.9,31.35,1.0,3.0,4.0,CP06,0,0,11
2023-11-12,CP06,Granby,PC,306.0,6878.39,152,CP06,QC,1.54,10.3,18.9,31.35,1.0,3.0,4.0,CP06,0,0,11
2023-11-12,CP06,Granby,TO,0.0,0.0,1,CP06,QC,1.54,10.3,18.9,31.35,1.0,3.0,4.0,CP06,0,0,11
2023-11-12,CP07,Laval,BQ,19.0,99.81,5,CP07,QC,1.54,9.8,14.1,42.35,3.0,1.0,4.0,CP07,0,0,11
2023-11-12,CP07,Laval,CH,1.0,1065.87,1,CP07,QC,1.54,9.8,14.1,42.35,3.0,1.0,4.0,CP07,0,0,11
2023-11-12,CP07,Laval,FI,9.0,7640.91,11,CP07,QC,1.54,9.8,14.1,42.35,3.0,1.0,4.0,CP07,0,0,11
2023-11-12,CP07,Laval,GA,7.0,3972.97,9,CP07,QC,1.54,9.8,14.1,42.35,3.0,1.0,4.0,CP07,0,0,11
2023-11-12,CP07,Laval,HT,1.0,3319.82,1,CP07,QC,1.54,9.8,14.1,42.35,3.0,1.0,4.0,CP07,0,0,11
2023-11-12,CP07,Laval,LO,37.0,571.63,13,CP07,QC,1.54,9.8,14.1,42.35,3.0,1.0,4.0,CP07,0,0,11
2023-11-12,CP07,Laval,ME,62.0,14656.34,31,CP07,QC,1.54,9.8,14.1,42.35,3.0,1.0,4.0,CP07,0,0,11
2023-11-12,CP07,Laval,PC,729.0,11696.21,176,CP07,QC,1.54,9.8,14.1,42.35,3.0,1.0,4.0,CP07,0,0,11
2023-11-12,CP07,Laval,SP,3.0,13162.83,1,CP07,QC,1.54,9.8,14.1,42.35,3.0,1.0,4.0,CP07,0,0,11
2023-11-12,CP07,Laval,TO,5.0,3504.27,5,CP07,QC,1.54,9.8,14.1,42.35,3.0,1.0,4.0,CP07,0,0,11
2023-11-12,CP08,Longueuil,BQ,1.0,24.99,1,CP08,QC,2.16,10.2,13.1,41.16,3.0,1.0,4.0,CP08,0,0,11
2023-11-12,CP08,Longueuil,CH,2.0,1649.98,2,CP08,QC,2.16,10.2,13.1,41.16,3.0,1.0,4.0,CP08,0,0,11
2023-11-12,CP08,Longueuil,FI,5.0,3455.96,5,CP08,QC,2.16,10.2,13.1,41.16,3.0,1.0,4.0,CP08,0,0,11
2023-11-12,CP08,Longueuil,GA,8.0,3159.92,5,CP08,QC,2.16,10.2,13.1,41.16,3.0,1.0,4.0,CP08,0,0,11
