store_code,division_code,n_weeks,avg_units,avg_revenue,std_units,total_units,total_revenue,pct_zero,max_units,cv,asp,demand_class,adi,cv2,tier
CP08,ME,117,71.64957264957265,16674.649914529913,83.11358205111557,8383.0,1950934.04,0.0,377.0,1.1600010855279164,232.72504354049863,Erratic,1.0,1.3456025184259444,Tier 1
CP08,PA,55,8.290909090909091,1824.9640000000002,9.073103775512111,456.0,100373.02,3.6363636363636362,37.0,1.0943436571341363,220.11627192982456,Erratic,1.0377358490566038,1.197588039909716,Tier 2
CP08,PC,123,617.3089430894308,13257.625609756096,786.7885558653461,75929.0,1630687.95,0.0,4687.0,1.274545856937897,21.476483952113156,Erratic,1.0,1.624467141437558,Tier 1
CP08,SP,70,1.8714285714285714,18318.43285714286,1.1537139596195922,131.0,1282290.3,0.0,6.0,0.6164883753692477,9788.475572519084,Smooth,1.0,0.38005791696541447,Tier 2
CP08,TO,61,6.245901639344262,4106.532131147541,5.929181331080254,381.0,250498.46,0.0,22.0,0.9492914992018254,657.4762729658793,Erratic,1.0,0.9011543504568493,Tier 2
CP10,BQ,110,22.990909090909092,7674.497818181818,25.859711661953344,2529.0,844194.76,1.8181818181818181,139.0,1.1247798666725455,333.80575721629106,Erratic,1.0185185185185186,1.2651297484719093,Tier 1
CP10,CH,85,6.341176470588235,12554.181058823528,4.9269737190298875,539.0,1067105.39,1.1764705882352942,26.0,0.7769810132050843,1979.787365491651,Erratic,1.0119047619047619,0.6036994948811993,Tier 2
CP10,FI,111,4.648648648648648,1640.2844144144144,5.316609734251617,516.0,182071.57,3.6036036036036037,43.0,1.143689303298313,352.8518798449613,Erratic,1.0373831775700935,1.3080252224789808,Tier 2
CP10,GA,92,10.728260869565217,21991.325326086957,10.6843865347294,987.0,2023201.93,5.434782608695652,42.0,0.995910396347624,2049.8499797365753,Erratic,1.0574712643678161,0.9918375175532815,Tier 2
CP10,HT,90,6.166666666666667,23348.848666666665,4.59176106335264,555.0,2101396.38,2.2222222222222223,19.0,0.7446099021652929,3786.2997837837834,Erratic,1.0227272727272727,0.554443906402607,Tier 2
CP10,LO,121,80.80165289256199,1183.1139669421489,112.74237740934792,9777.0,143156.79,0.0,567.0,1.3952979100471614,14.642200061368518,Erratic,1.0,1.9468562577819766,Tier 1
CP10,ME,117,114.07692307692308,25158.808376068377,140.94197594597,13347.0,2943580.58,0.8547008547008548,701.0,1.2354994519875995,220.54248745036338,Erratic,1.0086206896551724,1.5264588958616585,Tier 1
CP10,PA,78,19.833333333333332,3897.723717948718,20.68779467427228,1547.0,304022.45,1.282051282051282,81.0,1.0430820844170898,196.52388493859084,Erratic,1.0129870129870129,1.0880202348319008,Tier 2
CP10,PC,123,697.4959349593496,16272.116422764228,768.583478555147,85792.0,2001470.32,0.0,4161.0,1.1019182192078876,23.329335136143232,Erratic,1.0,1.2142237618222822,Tier 1
CP10,SP,115,29.88695652173913,28557.81617391304,29.00416340875827,3437.0,3284148.86,0.8695652173913043,172.0,0.9704622612764624,955.5277451265638,Erratic,1.0087719298245614,0.9417970005618248,Tier 1
CP10,TO,99,9.141414141414142,1825.719393939394,14.055291763290665,905.0,180746.22,4.040404040404041,130.0,1.5375402039400836,199.71958011049725,Erratic,1.0421052631578946,2.364029878732114,Tier 2
CP12,BQ,49,6.1020408163265305,1624.1867346938775,6.00432100643356,299.0,79585.15,2.0408163265306123,23.0,0.9839857167733929,266.1710702341137,Erratic,1.0208333333333333,0.9682278908140477,Tier 2
CP12,CH,35,4.857142857142857,8720.621142857142,4.784428524131279,170.0,305221.74,5.714285714285714,16.0,0.985029402027028,1795.422,Erratic,1.0606060606060606,0.9702829228577244,Tier 2
CP12,FI,31,3.4838709677419355,1232.5490322580647,5.858731192228885,108.0,38209.020000000004,3.225806451612903,25.0,1.6816728422138465,353.7872222222223,Erratic,1.0333333333333334,2.828023548239597,Tier 2
CP12,GA,40,5.9775,8264.043,5.978572314781926,239.1,330561.72,2.5,27.0,1.0001793918497575,1382.5249686323714,Erratic,1.0256410256410255,1.0003588158809507,Tier 2
CP12,HT,26,23.692307692307693,17639.225384615384,40.01376686168821,616.0,458619.86,23.076923076923077,108.0,1.6888927571491776,744.5127597402598,Erratic,1.3,2.852358745150951,Tier 1
CP12,LO,60,15.45,206.65966666666665,19.66708081532717,927.0,12399.58,0.0,73.0,1.272950214584283,13.376030204962245,Erratic,1.0,1.6204022488101721,Tier 2
CP12,ME,56,28.125,8321.7225,48.45356258597222,1575.0,466016.46,8.928571428571429,314.0,1.7227933363901233,295.88346666666666,Erratic,1.0980392156862746,2.9680168799102127,Tier 1
CP12,PA,38,2.789473684210526,255.32894736842104,3.7210714436137815,106.0,9702.5,34.21052631578947,12.0,1.3339690080879596,91.53301886792453,Lumpy,1.52,1.7794733145391748,Tier 2
CP12,PC,73,196.4794520547945,5113.564383561644,230.1078315817416,14343.0,373290.2,0.0,995.0,1.1711546890794908,26.025949940737643,Erratic,1.0,1.371603305752879,Tier 1
CP12,SP,37,2.0,17548.233783783784,1.3944333775567923,74.0,649284.65,2.7027027027027026,6.0,0.6972166887783962,8774.116891891892,Smooth,1.0277777777777777,0.48611111111111094,Tier 2
CP12,TO,35,5.4,1141.7748571428572,5.95670655154142,189.0,39962.12,17.142857142857142,19.0,1.1030938058410036,211.43978835978837,Erratic,1.2068965517241381,1.2168159444847897,Tier 2
CP13,BQ,78,8.038461538461538,3086.7669230769234,6.951487382077079,627.0,240767.82,0.0,27.0,0.8647783346124596,383.9997129186603,Erratic,1.0,0.747841568015099,Tier 2
