store_code,division_code,actual_revenue,pred_revenue,revenue_wmape,n_weeks
CP15,CH,2782.710000000001,8497.922250125534,0.9390217151432136,8
CP15,FI,25083.970000000005,24600.516507122433,0.2939957624408989,21
CP15,GA,15389.579999999998,11649.84858057369,0.6925475561956463,8
CP15,HT,1657.2600000000002,7969.581180275805,0.6355696939333421,3
CP15,LO,2102.3900000000003,283.58653963842113,2.982945924785709,24
CP15,ME,32986.67,56469.919899591965,0.8012959218418652,20
CP15,PA,867.1700000000001,666.6387312600591,1.4392457869735407,8
CP15,PC,82070.01,90355.23054960874,0.2424454346019344,26
CP15,SP,-8899.01,-4442.995603569094,0.5007314742236391,1
CP15,TO,-218.97000000000003,5196.123084134726,1.1019837572899045,7
CP16,BQ,22352.69,20039.739105388893,0.3357435510790121,22
CP16,CH,4174.639999999999,9827.43895679006,0.8042227531147657,8
CP16,FI,34408.51,30043.011357716357,0.2140727186643612,25
CP16,GA,36255.409999999996,45382.669437530705,0.32244512947064036,10
CP16,HT,11116.410000000002,11638.024927640468,0.18370266801054114,5
CP16,LO,9486.53,10543.856087245089,0.7915382477516444,25
CP16,ME,50845.98,48422.25366029825,0.6669663623188938,23
CP16,PA,69.99,69.67725375284324,0.004468441879650701,1
CP16,PC,97133.70999999999,95201.58077733067,0.18937247355303666,25
CP16,SP,82917.87,103878.54169737117,0.3822789970738712,8
CP16,TO,4718.8099999999995,5429.341843333352,0.34987574434073426,6
CP17,BQ,7232.32,7114.825156352614,0.5948028350505233,16
CP17,CH,21100.77,24598.036995843417,0.40199606908945024,13
CP17,FI,92643.98000000001,97203.61558277608,0.22871386540895092,26
CP17,GA,24136.95,24271.639120383457,0.36654983175573636,10
CP17,LO,2966.67,350.10172726961525,2.079918735057245,26
CP17,ME,39857.33,38709.18470209588,0.3349581680497759,21
CP17,PA,6022.719999999999,2081.7300743184105,0.6543538344272339,5
CP17,PC,96681.76999999999,102786.06208134833,0.17543077865527937,26
CP17,SP,122688.99,118655.19047923156,0.14725245167177084,10
CP17,TO,9676.66,12217.15634488836,0.40039682713521996,7
CP202,BQ,837.97,1530.0163599477678,1.1821829697727044,3
CP202,CH,4888.99,4790.192229594366,0.02020821691302986,2
CP202,FI,3449.9700000000003,4918.349950183716,0.4256210779176968,3
CP202,GA,26769.06,27706.35392677797,0.08844158836302309,7
CP202,LO,874.1800000000001,-98.80942420581724,3.8245135853907843,19
CP202,ME,27253.4,38356.3457781927,0.5446938677689637,16
CP202,PA,1700.03,2465.5944124344574,0.4503240604192028,3
CP202,PC,104687.41,103044.98871833965,0.14128328511717644,26
CP202,SP,275083.70999999996,268223.0155432253,0.1333702733202957,7
CP202,TO,0.0,-43.25939423474193,,2
CP28,BQ,314.99,357.66664567420224,1.8769601484312801,2
CP28,CH,15164.19,14729.714929692138,0.21729307762793398,10
CP28,FI,16034.839999999998,18645.782807110576,0.25211347229665426,11
CP28,GA,1645.94,3993.537510167962,1.426295922189121,5
CP28,HT,-3788.98,1076.231123389367,1.2840424397567067,2
CP28,LO,1502.23,532.6370688805754,3.077762363084935,25
CP28,ME,8890.14,8819.343469019708,0.28161839998317334,12
CP28,PA,1142.91,1172.6502971955836,0.8418188805220174,5
CP28,PC,68163.39000000001,70200.60908027513,0.3081429372615852,26
CP28,SP,17498.0,14449.017302567361,0.17424749671006046,2
CP28,TO,-684.9899999999998,106.96776314167718,0.9948348176236702,4
CP32,BQ,2320.85,3076.3830381700027,0.9999761866295955,12
CP32,FI,35810.81,41279.64546827939,0.4343633179094017,20
CP32,GA,18838.129999999997,21974.394507561337,0.42250817356276466,9
CP32,HT,1400.0,2775.777671195278,0.9826983365680556,1
CP32,LO,2293.44,2322.4828501698394,2.107157044866562,25
CP32,ME,32856.030000000006,25945.02310784696,0.6496843932434218,20
CP32,PA,398.5,780.9103255813015,1.3491536625414364,2
CP32,PC,106792.74999999999,105255.8884042687,0.263720415733945,26
CP32,SP,80779.97,87905.52303397546,0.16282161098603495,8
CP32,TO,1427.46,2551.2380845743614,0.787257145261066,4
CP33,BQ,2965.9499999999994,4675.886392957445,0.5765223260531855,7
CP33,CH,379.90000000000003,3545.487116168729,9.12372931968546,6
CP33,FI,8910.02,11618.203323282587,0.5494172653750446,16
CP33,GA,7489.79,7307.614423808134,0.1880250174040108,7
CP33,LO,577.96,-1497.7882149702068,6.336910629308671,23
CP33,ME,5786.37,5407.5114759566,0.6451744301432568,20
CP33,PC,36377.91,30951.650106603774,0.3005001502540865,26
CP33,SP,39116.0,35156.135640189765,0.1012338776922546,3
CP33,TO,703.99,1073.19390779677,0.524444818529766,1
CP35,BQ,7947.159999999999,8985.316170067896,0.543534815084892,19
CP35,CH,10584.109999999999,10947.670114033506,0.18320706573551673,10
CP35,FI,36284.52,42938.09319324805,0.31496447747811135,22
CP35,GA,10309.92,10671.276634649419,0.173241301992738,8
CP35,HT,14695.0,13251.06414402844,0.09826035086570671,1
CP35,LO,3902.69,4610.522854925413,1.57087537535186,25
CP35,ME,32379.300000000007,35325.71729033917,0.30825158902683314,21
CP35,PA,1246.93,1971.5833526975835,0.892174120359203,4
CP35,PC,146992.22999999998,138326.24462558763,0.18394720217066732,25
CP35,SP,151170.31,162025.31750638408,0.1041623323004127,11
CP35,TO,4394.99,5853.426131918229,0.33184060303168567,3
CP36,BQ,56565.62,29963.216329589275,0.714394205141416,22
CP36,CH,18623.66,11952.244231021119,0.6160207507990723,10
CP36,FI,22290.88,17236.042742280075,0.43277111726773493,17
CP36,GA,59324.54,61309.15747303851,0.5421793628074595,15
CP36,HT,5478.93,5263.677012121383,0.10179041883156245,4
CP36,LO,3923.0499999999997,1850.3703103628288,1.3143308644476233,26
CP36,ME,202257.56,146738.86413784916,0.659728490968405,25
CP36,PA,10290.23,7543.210831606733,0.8243430998970553,12
CP36,PC,64983.53,79796.73207376154,0.349709707974665,26
CP36,SP,390502.81,218604.7608003657,0.535530221145585,9
CP36,TO,2782.74,4521.298028985341,0.6247648105771081,4
CP37,BQ,8561.83,7624.892146033456,0.3822890649263886,12
CP37,CH,6797.98,7996.688359062771,0.18660722123107706,3
CP37,FI,43720.12,43358.079490958124,0.25577718152415885,21
CP37,GA,31640.350000000002,38041.556177827304,0.26484766784088304,9
CP37,HT,33589.0,30727.000519119898,0.12480563063612905,5
CP37,LO,7635.13,4614.3208936540395,0.8555936946587136,26
CP37,ME,104663.25,96921.56408531657,0.5103276111381596,25
CP37,PA,5526.96,3635.9228946873054,0.7281370972882888,8
CP37,PC,206961.44,203931.83930686512,0.17628167677490675,26
CP37,SP,266476.82,313184.0832501259,0.24096681518352414,11
CP37,TO,6700.509999999999,8766.723684243267,0.5975141254088343,10
CP39,BQ,1239.96,1732.502063171822,0.8476092180110791,4
CP39,CH,579.87,1697.9248622229375,2.638757631325999,7
CP39,FI,7943.86,8278.157947749774,0.38559409575946385,12
CP39,GA,4010.8600000000006,6716.702886127396,0.5817664593756057,10
CP39,HT,-509.99000000000024,4683.907671628089,0.7715569553097338,3
CP39,LO,710.46,1038.5215416231738,3.1947776560567793,18
CP39,ME,15857.580000000002,15146.891584103727,0.2954944753706214,19
CP39,PC,38098.16,34485.125611460135,0.23886074028927082,26
CP39,SP,66870.0,72327.25602586,0.12734996316497535,7
CP39,TO,547.99,645.6035519873967,1.6868773506266181,3
CP40,BQ,2628.9700000000003,2852.6530958328576,0.22437715776884531,3
CP40,CH,4584.57,5398.004648793171,0.17742877713573382,3
CP40,GA,14106.92,11906.389988319443,0.22126179470330995,5
CP40,HT,2899.0,3471.382418823315,0.19744133108772516,1
CP40,LO,361.63,-838.3673574636509,6.5264493854457335,17
CP40,ME,8126.07,8252.94099123713,0.38725585884814523,12
CP40,PA,1354.96,1317.7146196002582,0.3459964413845558,3
CP40,PC,44851.51,38480.5623724767,0.2502537371152759,24
CP40,SP,120642.98,175166.36938161496,0.4519400082923596,5
CP40,TO,3253.94,2722.248322987172,0.4585988042930655,3
CP44,BQ,1043.5,645.9384421258453,1.0268964630016097,9
CP44,CH,4505.789999999999,5221.990635342714,0.2980299577740975,8
CP44,FI,9222.659999999998,15039.501554255483,0.7818308502576912,15
CP44,GA,14072.050000000001,27597.95253500024,0.5395732887903146,7
CP44,LO,2254.5000000000005,2052.673391752549,2.7540032533052834,23
CP44,ME,22131.08,24451.643993346177,0.31479178766636645,15
CP44,PA,2555.9300000000003,4074.276594806437,0.8284750714245611,5
CP44,PC,57701.14,57788.630511589006,0.2668560607272443,25
CP44,SP,39145.0,39945.437779060485,0.09454155620298166,4
CP44,TO,2752.45,4651.497562372851,0.6899480689468841,4
CP45,BQ,10248.409999999998,11923.619356203006,0.47236574696729955,19
CP45,FI,2507.85,3129.5560766567305,1.0186884900082789,10
CP45,GA,7639.939999999999,7077.534832709995,0.0971793428766644,4
CP45,HT,1199.99,2433.4663189213065,1.0279054983135747,1
