week_ending,store_code,city,division_code,sales,units,n_transactions
2025-06-22,CP44,St-Constant,LO,2301.06,149.0,124
2025-06-22,CP44,St-Constant,ME,14166.85,52.0,36
2025-06-22,CP44,St-Constant,MK,1.99,1.0,1
2025-06-22,CP44,St-Constant,PA,1922.68,9.0,11
2025-06-22,CP44,St-Constant,PC,20126.05,1002.0,778
2025-06-22,CP44,St-Constant,PI,3201.43,102.0,91
2025-06-22,CP44,St-Constant,SE,424.96000000000004,9.0,9
2025-06-22,CP44,St-Constant,SP,16216.99,4.0,4
2025-06-22,CP44,St-Constant,TO,1042.48,3.0,3
2025-06-22,CP48,Beloeil,AM,751.92,8.0,8
2025-06-22,CP48,Beloeil,AP,53674.61,1353.5,1052
2025-06-22,CP48,Beloeil,AS,2388.35,486.0,82
2025-06-22,CP48,Beloeil,AZ,32.89,11.0,7
2025-06-22,CP48,Beloeil,BQ,6073.7,39.0,38
2025-06-22,CP48,Beloeil,CC,125.0,4.0,4
2025-06-22,CP48,Beloeil,CH,16999.91,9.0,9
2025-06-22,CP48,Beloeil,GA,11319.95,6.0,6
2025-06-22,CP48,Beloeil,HT,10596.0,4.0,4
2025-06-22,CP48,Beloeil,IN,5384.99,6.0,6
2025-06-22,CP48,Beloeil,INM,2475.0,105.0,6
2025-06-22,CP48,Beloeil,LI,709.9499999999999,33.0,33
2025-06-22,CP48,Beloeil,LO,4501.17,242.0,211
2025-06-22,CP48,Beloeil,ME,26018.79,136.0,80
2025-06-22,CP48,Beloeil,PA,1955.92,7.0,7
2025-06-22,CP48,Beloeil,PC,34729.46,1558.0,1214
2025-06-22,CP48,Beloeil,PI,4672.650000000001,187.0,140
2025-06-22,CP48,Beloeil,SE,519.95,8.0,8
2025-06-22,CP48,Beloeil,SP,15499.0,1.0,1
2025-06-22,CP48,Beloeil,TO,5362.45,9.0,9
2025-06-29,CP08,Longueuil,AM,3717.5899999999997,43.0,5
2025-06-29,CP08,Longueuil,AP,53448.270000000004,1169.5,859
2025-06-29,CP08,Longueuil,AS,6778.9800000000005,368.0,68
2025-06-29,CP08,Longueuil,AZ,5.98,2.0,4
2025-06-29,CP08,Longueuil,BQ,1423.79,25.0,25
2025-06-29,CP08,Longueuil,CC,0.0,1.0,1
2025-06-29,CP08,Longueuil,CH,18229.91,9.0,9
2025-06-29,CP08,Longueuil,FI,5365.129999999999,8.0,8
2025-06-29,CP08,Longueuil,GA,10239.88,13.0,9
2025-06-29,CP08,Longueuil,HT,5790.88,4.0,4
2025-06-29,CP08,Longueuil,IN,6254.96,11.0,11
2025-06-29,CP08,Longueuil,INM,5869.96,16.0,16
2025-06-29,CP08,Longueuil,LI,1729.88,47.0,47
2025-06-29,CP08,Longueuil,LO,3582.63,193.0,143
2025-06-29,CP08,Longueuil,ME,51563.94,181.0,96
2025-06-29,CP08,Longueuil,MK,15.0,3.0,3
2025-06-29,CP08,Longueuil,PA,6180.39,23.0,23
2025-06-29,CP08,Longueuil,PC,31034.94,1400.0,1077
2025-06-29,CP08,Longueuil,PI,13534.54,267.0,218
2025-06-29,CP08,Longueuil,SE,1385.91,17.0,17
2025-06-29,CP08,Longueuil,SP,34436.53,4.0,4
2025-06-29,CP08,Longueuil,TO,8491.39,13.0,13
2025-06-29,CP202,Nepean,AP,30379.82,418.0,282
2025-06-29,CP202,Nepean,AS,4098.17,75.0,64
2025-06-29,CP202,Nepean,BQ,49.98,2.0,2
2025-06-29,CP202,Nepean,DI,428.97,70.0,41
2025-06-29,CP202,Nepean,GA,26349.92,8.0,8
2025-06-29,CP202,Nepean,IN,650.0,5.0,5
2025-06-29,CP202,Nepean,LI,1749.94,11.0,11
2025-06-29,CP202,Nepean,LO,583.67,33.0,28
2025-06-29,CP202,Nepean,ME,33255.94,106.0,61
2025-06-29,CP202,Nepean,MK,1.98,2.0,2
2025-06-29,CP202,Nepean,PA,4842.91,23.0,22
2025-06-29,CP202,Nepean,PC,25733.35,1369.0,1158
2025-06-29,CP202,Nepean,PI,3749.15,311.0,228
2025-06-29,CP202,Nepean,SP,33017.81,3.0,3
2025-06-29,CP37,Gatineau,AP,62164.700000000004,1646.0,897
2025-06-29,CP37,Gatineau,AS,3553.97,116.0,95
2025-06-29,CP37,Gatineau,BQ,323.91,10.0,12
2025-06-29,CP37,Gatineau,CH,12347.98,4.0,4
2025-06-29,CP37,Gatineau,DI,89.25,8.0,12
2025-06-29,CP37,Gatineau,GA,5681.17,3.0,3
2025-06-29,CP37,Gatineau,HT,25392.0,8.0,8
2025-06-29,CP37,Gatineau,IN,12523.96,115.0,31
2025-06-29,CP37,Gatineau,LI,1841.47,13.0,13
2025-06-29,CP37,Gatineau,LO,4376.1,278.0,217
2025-06-29,CP37,Gatineau,ME,30403.1,105.0,67
2025-06-29,CP37,Gatineau,MK,34.61,18.0,15
2025-06-29,CP37,Gatineau,PA,4237.65,30.0,31
2025-06-29,CP37,Gatineau,PC,65149.65,2967.0,2443
2025-06-29,CP37,Gatineau,PI,11300.77,1064.0,717
2025-06-29,CP37,Gatineau,SE,230.0,5.0,5
2025-06-29,CP37,Gatineau,SP,45997.0,3.0,3
2025-06-29,CP37,Gatineau,TO,9896.39,20.0,30
2025-06-29,CP44,St-Constant,AP,28712.530000000002,930.5,609
2025-06-29,CP44,St-Constant,AS,2525.76,447.0,57
2025-06-29,CP44,St-Constant,AZ,2.99,1.0,1
2025-06-29,CP44,St-Constant,BQ,636.83,10.0,8
2025-06-29,CP44,St-Constant,CA,9999.99,1.0,1
2025-06-29,CP44,St-Constant,CH,3499.98,2.0,2
2025-06-29,CP44,St-Constant,GA,5519.969999999999,3.0,3
2025-06-29,CP44,St-Constant,HT,17695.0,5.0,5
2025-06-29,CP44,St-Constant,IN,8870.0,7.0,7
2025-06-29,CP44,St-Constant,INM,3079.98,7.0,7
2025-06-29,CP44,St-Constant,LI,1209.92,29.0,29
2025-06-29,CP44,St-Constant,LO,2966.05,157.0,140
2025-06-29,CP44,St-Constant,ME,6338.29,24.0,25
2025-06-29,CP44,St-Constant,MK,0.0,1.0,1
2025-06-29,CP44,St-Constant,PA,2169.64,15.0,15
2025-06-29,CP44,St-Constant,PC,20757.26,979.0,699
2025-06-29,CP44,St-Constant,PI,2515.73,71.0,68
2025-06-29,CP44,St-Constant,SE,514.95,10.0,10
